Rule                                        | Time (ms) | Relative
:-------------------------------------------|----------:|--------:
prettier/prettier                           |   872.087 |    95.4%
react-hooks/exhaustive-deps                 |     7.049 |     0.8%
jsx-a11y/aria-activedescendant-has-tabindex |     6.288 |     0.7%
no-restricted-imports                       |     3.159 |     0.3%
react-hooks/rules-of-hooks                  |     2.161 |     0.2%
no-obj-calls                                |     1.518 |     0.2%
jsx-a11y/interactive-supports-focus         |     1.515 |     0.2%
jsx-a11y/no-redundant-roles                 |     1.153 |     0.1%
jsx-a11y/role-supports-aria-props           |     1.082 |     0.1%
constructor-super                           |     1.078 |     0.1%
